Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Jeong Woo-yeong,kr KOR,MF,Stuttgart,24-121,1999,12,380,32,24.8,4.2,4,78,1,8,9,0,1.83,12,6,+6,+1.42,+0.64,9.0,5.2,+3.8,+0.89,-0.37
Granit Xhaka,ch SUI,MF,Leverkusen,31-114,1992,17,"1,505",89,98.4,16.7,17,89,14,0,,0,2.65,46,12,+34,+2.03,-1.57,34.6,15.7,+18.9,+1.13,-1.82
Dan-Axel Zagadou,fr FRA,DF,Stuttgart,24-230,1999,17,"1,273",75,83.2,14.1,14,88,12,3,13,0,2.00,32,19,+13,+0.92,-0.13,31.1,15.4,+15.7,+1.11,-0.33
Robin Zentner,de GER,GK,Mainz 05,29-083,1994,13,"1,170",90,76.5,13.0,13,90,13,0,,0,0.69,13,26,-13,-1.00,-0.50,12.0,17.4,-5.4,-0.41,-1.25
Cedric Zesiger,ch SUI,DF,Wolfsburg,25-209,1998,13,936,72,61.2,10.4,11,85,9,2,1,4,1.46,14,20,-6,-0.58,-0.43,15.1,18.2,-3.1,-0.30,+0.06
Michael Zetterer,de GER,GK,Werder Bremen,28-191,1995,10,900,90,58.8,10.0,10,90,10,0,,7,1.10,12,14,-2,-0.20,+0.51,10.3,15.8,-5.5,-0.55,-0.31
Christoph Zimmermann,de GER,DF,Darmstadt 98,31-007,1993,7,445,64,29.1,4.9,5,79,3,2,25,1,0.29,3,17,-14,-2.83,-2.00,2.2,12.2,-10.0,-2.03,-1.32
Leopold Zingerle,de GER,GK,RB Leipzig,29-284,1994,0,,,,,0,,0,0,,4,,,,,,,,,,,
Simon Zoller,de GER,"FW,MF",Bochum,32-207,1991,1,45,45,2.9,0.5,0,,0,1,45,0,0.00,0,3,-3,-6.00,-5.27,0.2,1.8,-1.6,-3.14,-2.82
Lovro Zvonarek,hr CRO,FW,Bayern Munich,18-256,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
