Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Serhou Guirassy,gn GUI,FW,Stuttgart,27-313,1996,11.7,357,342,13,1,3,1,1,1,0,0,0,0,292,2,10
Manuel Gulde,de GER,DF,Freiburg,32-341,1991,9.0,503,480,22,14,0,2,3,4,0,0,0,0,434,1,3
Robert Gumny,pl POL,DF,Augsburg,25-229,1998,5.2,182,132,50,0,0,0,7,50,0,0,0,0,128,0,4
Christian Günter,de GER,DF,Freiburg,30-325,1993,1.0,42,38,4,2,0,0,5,0,2,0,0,0,34,0,1
Janik Haberer,de GER,MF,Union Berlin,29-292,1994,9.6,386,377,8,2,0,3,6,4,0,0,0,0,296,1,8
Robin Hack,de GER,"FW,MF",M'Gladbach,25-145,1998,4.7,165,158,6,2,1,1,9,1,2,1,1,0,118,1,8
Amadou Haidara,ml MLI,MF,RB Leipzig,25-353,1998,7.1,404,392,11,10,1,0,1,1,0,0,0,0,341,1,10
Sébastien Haller,ci CIV,FW,Dortmund,29-211,1994,4.0,102,97,5,0,1,0,0,0,0,0,0,0,68,0,2
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27-002,1997,0.7,26,24,2,2,0,0,0,0,0,0,0,0,18,0,0
Genki Haraguchi,jp JPN,MF,Stuttgart,32-255,1991,0.2,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,40-001,1984,0.4,26,23,3,3,1,0,0,0,0,0,0,0,24,0,0
Thorgan Hazard,be BEL,DF,Dortmund,30-296,1993,0.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
Dominique Heintz,de GER,DF,Köln,30-157,1993,4.6,300,249,51,5,0,1,12,42,0,0,0,0,245,0,6
Benjamin Henrichs,de GER,DF,RB Leipzig,26-330,1997,14.9,922,789,129,10,9,2,43,119,0,0,0,0,716,4,21
Patrick Herrmann,de GER,"DF,FW",M'Gladbach,32-341,1991,0.5,28,25,3,0,0,0,1,0,3,1,0,0,21,0,0
Piero Hincapié,ec ECU,DF,Leverkusen,22-010,2002,4.3,384,368,16,6,0,1,2,9,0,0,0,0,358,0,0
Adam Hložek,cz CZE,"FW,MF",Leverkusen,21-178,2002,1.7,69,69,0,0,0,0,0,0,0,0,0,0,52,0,3
Nicolas Höfler,de GER,MF,Freiburg,33-316,1990,11.9,514,479,34,15,0,1,0,1,0,0,0,0,451,1,7
Jonas Hofmann,de GER,MF,Leverkusen,31-189,1992,15.1,992,883,104,13,3,6,79,26,60,29,14,1,790,5,26
Philipp Hofmann,de GER,FW,Bochum,30-295,1993,8.9,219,212,6,0,0,0,2,0,0,0,0,0,136,1,7
Lucas Höler,de GER,"FW,MF",Freiburg,29-193,1994,13.1,420,407,9,2,1,1,10,2,0,0,0,0,281,4,17
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33-192,1990,12.0,540,501,38,16,3,2,16,16,6,2,3,0,417,1,12
Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22-247,2001,3.9,116,112,3,0,0,1,14,3,0,0,0,0,72,1,15
Franck Honorat,fr FRA,"DF,FW",M'Gladbach,27-161,1996,14.7,746,621,119,24,2,2,136,25,70,27,35,1,484,6,25
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,27-030,1996,6.6,164,157,6,0,1,0,6,5,0,0,0,0,118,1,6
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,24-128,1999,2.4,63,55,6,0,0,0,4,1,0,0,0,0,35,2,6
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-056,1989,17.0,469,375,91,24,0,1,0,0,0,0,0,0,380,3,0
Timo Hübers,de GER,DF,Köln,27-183,1996,16.9,1014,968,45,37,0,3,1,3,0,0,0,0,867,1,6
Mats Hummels,de GER,DF,Dortmund,35-034,1988,11.0,898,863,35,29,3,13,1,3,0,0,0,0,800,0,8
Denis Huseinbasic,de GER,MF,Köln,22-200,2001,6.1,238,235,3,3,0,0,5,0,0,0,0,0,211,0,5
Iago,br BRA,"DF,FW",Augsburg,26-302,1997,6.7,227,190,37,4,1,1,18,33,0,0,0,0,158,0,9
Thomas Isherwood,se SWE,DF,Darmstadt 98,25-356,1998,3.6,182,177,5,5,0,1,1,0,0,0,0,0,152,0,5
Ko Itakura,jp JPN,DF,M'Gladbach,26-357,1997,6.8,328,316,12,8,0,0,1,0,0,0,0,0,290,0,2
Hiroki Ito,jp JPN,DF,Stuttgart,24-252,1999,10.9,856,788,66,10,2,4,15,51,0,0,0,0,740,2,13
Lee Jae-sung,kr KOR,MF,Mainz 05,31-162,1992,12.4,420,409,9,1,1,0,7,6,0,0,0,0,323,2,10
Paul Jaeckel,de GER,DF,Union Berlin,25-181,1998,2.4,128,126,2,2,0,1,0,0,0,0,0,0,115,0,1
Kristijan Jakić,hr CRO,"MF,FW",Eint Frankfurt,26-250,1997,2.2,111,107,4,3,0,0,1,1,0,0,0,0,91,0,4
Tony Jantschke,de GER,"DF,MF",M'Gladbach,33-287,1990,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Fredrik Jensen,fi FIN,"FW,MF",Augsburg,26-132,1997,8.4,255,216,34,9,1,2,54,1,24,9,14,0,149,5,12
Moritz Jenz,de GER,DF,Wolfsburg,24-264,1999,9.5,495,476,18,12,0,0,0,1,0,0,0,0,437,1,3
Anthony Jung,de GER,"DF,FW",Werder Bremen,32-077,1991,14.4,879,801,77,17,0,2,12,30,0,0,0,0,751,1,7
Josip Juranović,hr CRO,DF,Union Berlin,28-156,1995,7.6,397,265,130,21,1,2,56,71,38,18,16,0,295,2,6
Julian Justvan,de GER,"FW,MF",Hoffenheim,25-292,1998,0.5,55,49,6,0,0,0,9,6,0,0,0,0,35,0,3
Ozan Kabak,tr TUR,DF,Hoffenheim,23-300,2000,11.7,600,587,12,12,3,5,0,0,0,0,0,0,515,1,4
Pavel Kadeřábek,cz CZE,"DF,FW",Hoffenheim,31-269,1992,12.0,539,416,120,6,0,1,46,114,0,0,0,0,353,3,14
