Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Kays Ruiz,ma MAR,MF,Auxerre,fr Ligue 1,19,2002,0.7,29,29,0,0,0,0,0,0,0,0,0,0,26,0,0
Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,26,1996,21.0,1763,1716,44,25,9,11,13,15,4,0,3,0,1614,3,24
Víctor Ruiz,es ESP,DF,Betis,es La Liga,33,1989,6.2,251,241,9,9,0,2,0,0,0,0,0,0,213,1,0
Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,30,1992,14.0,543,419,124,32,0,0,0,0,0,0,0,0,464,0,2
Alessandro Russo,it ITA,GK,Sassuolo,it Serie A,21,2001,1.0,50,37,13,5,0,0,0,0,0,0,0,0,37,0,0
Franco Russo,ar ARG,DF,Mallorca,es La Liga,27,1994,1.6,60,58,2,1,0,1,0,1,0,0,0,0,46,0,0
Georginio Rutter,fr FRA,"FW,MF",Leeds United,eng Premier League,20,2002,3.0,62,59,2,0,1,0,0,0,0,0,0,0,31,1,5
Georginio Rutter,fr FRA,FW,Hoffenheim,de Bundesliga,20,2002,11.2,158,157,1,0,1,2,11,0,0,0,0,0,95,0,12
Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,24,1997,11.5,501,374,125,4,1,4,41,119,2,0,2,0,350,2,16
Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,24,1997,15.7,998,846,152,10,2,2,50,142,0,0,0,0,817,0,28
Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,29,1992,29.0,1280,1021,257,94,0,0,0,0,0,0,0,0,888,2,2
José Sá,pt POR,GK,Wolves,eng Premier League,29,1993,36.0,1200,854,341,81,0,3,0,0,0,0,0,0,837,5,1
Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,29,1993,18.7,949,769,176,19,0,1,17,157,0,0,0,0,780,4,25
Halid Šabanović,ba BIH,DF,Angers,fr Ligue 1,22,1999,7.1,280,233,47,3,0,2,8,44,0,0,0,0,228,0,2
Abdelhamid Sabiri,ma MAR,"MF,FW",Sampdoria,it Serie A,25,1996,11.9,461,390,69,33,3,8,54,3,32,9,19,0,310,2,11
Marcel Sabitzer,at AUT,MF,Manchester Utd,eng Premier League,28,1994,7.0,307,293,9,4,2,3,4,2,1,0,0,0,237,5,7
Marcel Sabitzer,at AUT,MF,Bayern Munich,de Bundesliga,28,1994,7.0,466,451,12,6,1,2,5,4,1,1,0,0,402,3,3
Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,27,1995,28.7,1240,1033,204,23,2,1,36,180,1,0,0,0,999,3,27
Umar Sadiq,ng NGA,FW,Almería,es La Liga,25,1997,2.7,36,32,3,0,0,0,0,1,0,0,0,0,22,1,2
Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,25,1997,0.9,13,13,0,0,0,1,0,0,0,0,0,0,13,0,0
Alexis Saelemaekers,be BEL,"FW,DF",Milan,it Serie A,23,1999,15.6,621,573,46,5,3,2,48,36,5,2,3,0,480,2,12
Wesley Saïd,fr FRA,"FW,MF",Lens,fr Ligue 1,27,1995,7.2,195,184,9,0,1,0,5,2,0,0,0,0,155,2,5
Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,eng Premier League,25,1997,12.4,447,435,9,1,4,3,32,7,1,0,0,0,316,3,17
Théo Sainte-Luce,fr FRA,DF,Montpellier,fr Ligue 1,23,1998,5.9,266,206,60,3,0,0,10,57,0,0,0,0,219,0,5
Samuel Sáiz,es ESP,MF,Girona,es La Liga,31,1991,2.7,162,150,7,0,2,1,6,1,1,0,1,0,122,5,6
Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,20,2001,35.3,1430,1297,131,11,2,3,172,21,99,76,0,2,1054,2,62
Hamza Sakhi,ma MAR,MF,Auxerre,fr Ligue 1,26,1996,18.4,947,866,73,33,4,23,88,1,37,12,20,0,756,8,14
Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,32,1990,8.5,459,438,19,17,0,0,0,1,0,0,0,0,397,2,0
Jacopo Sala,it ITA,MF,Spezia,it Serie A,30,1991,1.2,46,40,6,4,0,0,4,1,0,0,0,0,36,0,5
Ibrahim Salah,ma MAR,"FW,MF",Rennes,fr Ligue 1,20,2001,2.5,121,120,1,0,0,0,8,1,0,0,0,0,94,0,4
Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,30,1992,36.6,1185,1146,29,4,14,3,38,17,0,0,0,0,902,10,40
Amine Salama,fr FRA,"FW,MF",Angers,fr Ligue 1,22,2000,13.9,321,303,16,0,2,0,12,0,0,0,0,0,236,2,10
Kike Salas,es ESP,DF,Sevilla,es La Liga,20,2002,4.1,211,203,7,7,0,1,0,0,0,0,0,0,177,1,0
William Saliba,fr FRA,DF,Arsenal,eng Premier League,21,2001,26.8,1865,1822,43,34,0,2,1,0,0,0,0,0,1698,0,8
Dikeni Salifou,tg TOG,MF,Werder Bremen,de Bundesliga,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammed Salisu,gh GHA,DF,Southampton,eng Premier League,23,1999,21.9,1196,1075,115,25,1,10,13,87,0,0,0,0,879,6,12
Roland Sallai,hu HUN,"MF,FW",Freiburg,de Bundesliga,25,1997,11.1,342,328,10,4,2,3,35,5,1,1,0,0,238,4,12
Yoann Salmier,gf GUF,DF,Troyes,fr Ligue 1,29,1992,29.4,1456,1398,53,42,1,16,7,7,0,0,0,0,1198,5,13
Salvi,es ESP,"FW,MF",Rayo Vallecano,es La Liga,31,1991,5.4,208,188,16,0,1,0,37,15,1,0,1,0,119,4,20
Lazar Samardzic,rs SRB,MF,Udinese,it Serie A,20,2002,20.5,893,772,118,48,3,23,92,5,62,33,17,0,715,3,17
Diadie Samassékou,ml MLI,"MF,FW",Hoffenheim,de Bundesliga,26,1996,0.4,20,20,0,0,0,0,0,0,0,0,0,0,17,0,0
